time,roll,pitch
0.33,1.45,-0.73
0.48,1.45,-0.73
0.52,1.43,-0.73
0.56,0.81,-1.05
0.60,0.48,-1.31
0.64,0.43,-1.27
0.68,0.49,-1.12
0.72,0.59,-0.99
0.76,0.63,-0.94
0.79,0.63,-0.95
0.83,0.60,-1.00
0.87,0.57,-1.02
0.91,0.55,-1.00
0.95,0.51,-0.98
0.99,0.46,-1.00
1.02,0.40,-1.03
1.06,0.35,-1.03
1.10,0.30,-1.01
1.14,0.26,-1.01
1.18,0.19,-1.01
1.22,0.13,-1.01
1.25,0.06,-1.02
1.29,0.03,-1.00
1.33,-0.13,-1.00
1.37,-0.31,-1.02
1.42,-0.61,-1.13
1.46,-0.98,-1.19
1.50,-1.22,-1.12
1.54,-1.08,-0.95
1.58,-0.85,-0.83
1.62,-0.46,-0.98
1.66,-0.61,-1.03
1.70,-0.97,-1.03
1.74,-1.38,-1.05
1.79,-1.66,-1.03
1.83,-1.85,-1.06
1.87,-1.93,-1.04
1.91,-2.00,-1.01
1.96,-2.06,-0.94
2.00,-2.13,-0.89
2.04,-2.24,-0.90
2.08,-2.24,-0.94
2.13,-2.36,-1.01
2.17,-2.44,-1.01
2.21,-2.53,-1.01
2.26,-2.54,-1.07
2.30,-2.78,-1.05
2.34,-3.12,-0.96
2.38,-3.48,-0.91
2.42,-3.70,-0.92
2.47,-3.76,-0.88
2.51,-3.73,-0.97
2.55,-3.52,-1.29
2.59,-3.72,-1.35
2.63,-3.98,-1.32
2.67,-4.21,-1.21
2.71,-4.27,-1.02
2.75,-4.31,-0.86
2.79,-4.44,-0.83
2.84,-4.53,-0.87
2.88,-4.62,-1.07
2.92,-4.91,-1.19
2.96,-5.04,-1.25
3.00,-5.03,-1.30
3.04,-4.96,-1.09
3.08,-5.05,-0.82
3.12,-5.29,-0.73
3.17,-5.53,-0.69
3.21,-5.70,-0.73
3.25,-5.70,-0.87
3.29,-5.50,-1.38
3.33,-5.57,-1.57
3.38,-5.75,-1.58
3.42,-5.92,-1.39
3.46,-5.84,-1.03
3.50,-5.80,-0.86
3.54,-5.85,-0.81
3.59,-5.95,-0.78
3.63,-6.05,-0.82
3.67,-6.13,-0.81
3.71,-6.17,-0.90
3.75,-6.07,-1.05
3.79,-6.01,-1.12
3.83,-5.87,-1.13
3.87,-5.74,-1.09
3.92,-5.65,-1.04
3.96,-5.60,-1.03
4.00,-5.58,-1.01
4.04,-5.58,-1.00
4.09,-5.57,-0.99
4.13,-5.56,-1.00
4.17,-5.55,-1.00
4.22,-5.56,-1.00
4.26,-5.59,-0.99
4.30,-5.64,-0.98
4.34,-5.67,-0.99
4.39,-5.68,-0.98
4.43,-5.68,-0.98
4.47,-5.67,-0.97
4.51,-5.65,-0.97
4.55,-5.62,-0.96
4.60,-5.59,-0.95
4.64,-5.55,-0.94
4.68,-5.49,-0.94
4.72,-5.42,-0.93
4.77,-5.34,-0.93
4.81,-5.25,-0.92
4.85,-5.14,-0.95
4.89,-5.04,-0.94
4.94,-4.94,-0.92
4.98,-4.82,-0.90
5.02,-4.71,-0.88
5.06,-4.59,-0.96
5.10,-4.73,-0.97
5.14,-4.66,-0.93
5.19,-4.60,-0.94
5.23,-4.49,-0.96
5.27,-4.38,-0.97
5.31,-4.25,-0.98
5.35,-4.13,-0.99
5.39,-4.10,-0.99
5.44,-3.96,-0.96
5.48,-3.78,-0.91
5.52,-3.59,-0.94
5.56,-3.47,-0.92
5.60,-3.63,-0.92
5.64,-3.73,-0.91
5.68,-3.66,-0.98
5.72,-3.34,-1.01
5.76,-3.02,-1.00
5.81,-2.69,-0.98
5.85,-2.50,-0.93
5.89,-2.51,-0.84
5.93,-2.49,-0.86
5.98,-2.29,-0.79
6.02,-2.00,-0.89
6.06,-1.79,-1.02
6.10,-1.68,-1.14
6.15,-1.81,-1.12
6.19,-2.00,-0.91
6.23,-1.94,-0.85
6.28,-1.77,-0.66
6.32,-1.52,-0.70
6.36,-1.31,-0.77
6.40,-1.07,-0.83
6.45,-0.91,-0.87
6.49,-0.81,-0.86
6.53,-0.74,-0.90
6.57,-0.78,-0.89
6.61,-0.79,-1.07
6.65,-0.66,-1.12
6.69,-0.47,-1.16
6.73,-0.22,-1.15
6.77,-0.03,-1.11
6.81,0.08,-1.02
6.85,-0.00,-0.85
6.89,0.11,-0.90
6.93,0.17,-0.96
6.97,0.34,-0.97
7.01,0.46,-0.91
7.05,0.54,-0.85
7.09,0.59,-0.81
7.12,0.60,-0.88
7.16,0.61,-0.92
7.20,0.63,-1.06
7.24,0.69,-1.13
7.28,0.78,-1.12
7.32,0.79,-1.08
7.36,0.74,-1.07
7.40,0.75,-1.07
7.44,0.78,-1.08
7.49,0.81,-1.08
7.53,0.87,-1.09
7.57,0.93,-1.10
7.61,0.97,-1.10
7.65,1.02,-1.10
7.69,0.99,-1.05
7.73,0.91,-0.97
7.77,0.90,-0.93
7.81,0.91,-0.92
7.86,0.92,-0.94
7.90,0.94,-0.97
7.94,0.97,-0.97
7.98,0.98,-0.95
8.02,1.00,-0.95
8.06,1.01,-0.95
8.10,1.02,-0.95
8.14,1.03,-0.95
8.18,1.03,-0.95
8.22,1.04,-0.95
8.26,1.04,-0.95
8.31,1.05,-0.95
8.35,1.06,-0.96
8.39,1.07,-0.96
8.43,1.07,-0.97
8.47,1.06,-0.98
